,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
M10: σ₀(all)+k(all),0,-493.5470856959298,14.23714157062011,0.0,0.01995760068496983,15.066424422311464,0.0,True,log
M3: σ₀(all elem),1,-494.0034167507091,13.71690892030415,0.45633105477926605,0.9024921048736568,15.328455140741454,0.7033220666527698,True,log
M6: k(all elem),2,-495.75570910685144,10.529866466920339,2.2086234109216427,4.616777224368354e-13,15.053538339608853,4.040707155802605,True,log
M7: σ₀(V)+k(V),3,-500.59351747068916,6.488931640778219,7.0464317747593235,8.961933044767206e-14,14.922804248085207,6.794790608198611,False,log
M1: σ₀(V),4,-500.8366033726683,6.7292967228754605,7.289517676738436,8.760711389597706e-14,15.205356897731328,6.9010062521011415,True,log
"M2: σ₀(V,Mn)",5,-501.315315472794,7.674187907835403,7.76822977686424,8.998908574013698e-14,15.831770906343316,7.023391073822569,True,log
"M8: σ₀(V,Mn)+k(V,Mn)",6,-501.4461217487143,8.010435644148401,7.899036052784499,8.818740430967972e-14,15.941794378951231,7.092410250736241,True,log
M12: σ₀(δ)+k(V),7,-501.6510273135362,7.162493803411678,8.103941617606397,0.0,15.881440208339834,7.421448872677896,True,log
M4: k(V),8,-501.962524851417,6.273286682392154,8.415439155487224,0.0,15.47787837131106,7.781931617924669,True,log
"M9: σ₀(V,Mn,Al)+k(V,Mn)",9,-502.4059536386709,9.319997850323318,8.858867942741014,8.647907183924051e-14,16.70517643894664,7.186789155563716,True,log
"M5: k(V,Mn)",10,-502.69551514737987,7.116044869509722,9.148429451449976,3.7370108178488226e-14,15.719686641068707,7.833590741628641,True,log
M11: σ₀(δ),11,-515.6067686102974,4.763346441869885,22.059682914367563,1.0252419522909386e-14,12.244122954786652,9.135800208739662,False,log
M0: Baseline HP,12,-518.3440183433721,4.0797810030084065,24.796932647442326,0.07755029444086757,11.475156266313109,9.711713211291848,False,log
