C_eff,Model,R2,RMSE,MAE,n
3.0,SISSO,-32.02099281774416,535.9692810328304,421.95265162993,25
3.0,SISSO_Robust,-6.03240033264118,247.34129395038983,235.07125868426934,25
3.0,M3,-6.9568752831830585,263.09713024877243,248.5261844690591,25
4.0,SISSO,-67.61824200575016,579.4632429045256,396.96648339353686,25
4.0,SISSO_Robust,-5.77649853603895,182.0995083952771,161.66775158615425,25
4.0,M3,-3.6905811141309384,151.5023691417071,129.71332287114572,25
5.13,SISSO,-128.35887182686253,620.3643531653261,408.6195783783652,25
5.13,SISSO_Robust,-9.641992406030148,177.93451442284191,137.10260572579884,25
5.13,M3,-2.1574766897364115,96.92120425905742,80.75200444522503,25
6.0,SISSO,-189.95505183300384,644.4369240664457,422.8887206562588,25
6.0,SISSO_Robust,-15.621576159715254,190.13012854033104,136.77327396968457,25
6.0,M3,-2.53704795896168,87.70721362677872,75.2204339519517,25
7.0,SISSO,-276.6946124722514,666.1189323701565,440.17542829828324,25
7.0,SISSO_Robust,-25.722555579993774,206.63650361368573,144.4767543854905,25
7.0,M3,-4.649808972844539,95.01341595120711,79.31713513904609,25
