label,R2,RMSE,MAE,bias,n
Tier 1 (measured YS) / SISSO,-5.083696043956372,300.3114861500057,142.0305612227211,49.9580678227278,54
Tier 1 (measured YS) / SISSO Robust,-0.7263134914440241,159.97349081097846,107.68647644643012,-61.26900118527337,54
Tier 1 (measured YS) / M3,-0.5078756580668784,149.51024549381398,107.66910740860686,-76.57741639391114,54
Tier 2 (HP-derived) / SISSO,0.29624936083895415,72.31198820387596,62.91329098738718,62.91329098738718,3
Tier 2 (HP-derived) / SISSO Robust,0.8492825813478628,33.46436781630694,30.853959343835488,1.0328021679149515,3
Tier 2 (HP-derived) / M3,0.677062513009445,48.98466384722695,39.75694461416284,12.94206279750487,3
Tier 3 (HV-converted) / SISSO,-128.35887182686253,620.3643531653261,408.6195783783652,357.0602700961676,25
Tier 3 (HV-converted) / SISSO Robust,-9.641992406030148,177.93451442284191,137.10260572579884,26.314983676005177,25
Tier 3 (HV-converted) / M3,-2.1574766897364115,96.92120425905742,80.75200444522503,-45.39205382578428,25
Aggregate / SISSO,-14.813144386785456,420.61341280246444,220.41316632253935,144.06075960723967,82
Aggregate / SISSO Robust,-1.3727961857992859,162.9311854020294,113.84386279614272,-32.28723250732789,82
Aggregate / M3,-0.5795836295592005,132.9368278894718,96.97808225655957,-63.79458100638164,82
