System,k_HP_MPa_um_half,Citation,Note
CoCrFeMnNi (Otto 2013),494.0,Otto2013,"tension, RT, fine-grained set"
CoCrFeMnNi (Yoshida 2017),538.0,Yoshida2017,"wide GS range, 296 K"
CoCrFeMnNi (Schneider 2020),680.0,Schneider2020,wider GS sweep
CoCrNi (Sun 2018),265.0,Sun2018,"medium-entropy, tension"
Al0.3CoCrFeNi (LaRosa 2019),824.0,LaRosa2019,Al-bearing FCC HEA
Pure Cu (avg),110.0,Hall1951,baseline pure FCC
Pure Al (avg),150.0,Petch1953,baseline pure FCC
Pure Ni (avg),210.0,George2019,baseline pure FCC
This work — M3,766.0,this_work,"93 FCC HEAs, all 7 non-Ni elements"
This work — SISSO Full,,this_work,implied 9356/dS_mix term; not directly comparable
This work — SISSO Robust,,this_work,implied 9837/dS_mix term
This work — PySR compact YS,,this_work,implied via 4.29*dH_mix*SD_grain/d^2 product
