Model,Features,n_feat,R2_5fold,RMSE_5fold,LOO_R2,LOO_RMSE,LOO_MAE,LOBO_R2,LOBO_RMSE,HPO,Time_s
Average Ensemble,meta,5,,,0.6688427665638474,46.67714258735018,29.534658084337416,,,None,0.0
M3: σ₀(all elem),M3,9,0.66574825811178,46.894723433596845,0.6524897070240354,47.815750378373664,30.53296370884885,0.6245751564253905,49.6991136618321,None,0.03255891799926758
CatBoost,INTERACTIONS,46,0.641553451397,48.56231043124233,0.6462710442896699,48.24168241484809,30.670598099264307,0.5642781562995978,53.54165676364663,Optuna-50,249.59464979171753
XGBoost,INTERACTIONS,46,0.6357384668872761,48.954632521709826,0.6454652877219472,48.29659584640623,31.637751040510064,0.5769998002449314,52.7542466519343,Optuna-50,384.4816288948059
Random Forest,INTERACTIONS,46,0.6359770442139466,48.93859819291001,0.643452493804116,48.4334985354217,31.140068655406434,0.58543459546124,52.22562764647966,Optuna-50,182.9989790916443
SVR (RBF),COMPACT,18,0.6147613013710314,50.3445070575075,0.6373777321639416,48.844354450394334,32.1312665691544,0.4894117720086255,57.959220786410974,Optuna-50,1.4804608821868896
CatBoost-compact,COMPACT,18,0.6283129215264023,49.45109025326969,0.6373635922841554,48.84530674514953,34.115767810010304,0.5426789204586429,54.85266712584312,Optuna-50,152.32621812820435
Stacking (Ridge),meta,5,,,0.6266043204367666,49.56462030851799,31.96227811657818,0.630380623573529,49.313349761026394,RidgeCV,0.0
ElasticNet,PHYSICS,27,0.6622050696207142,47.142618674701936,0.6191376215915221,50.057732928841176,31.652467206216546,0.6200291843629162,49.99910839322133,Optuna-50,4.017225027084351
Ridge,PHYSICS,27,0.6622301532394371,47.14086830884496,0.6163719273666723,50.23915535991362,31.792693285978057,0.6138672811152641,50.40289024497511,Optuna-50,1.2008659839630127
LightGBM,INTERACTIONS,46,0.5864704430799272,52.160340448872226,0.6092473486066694,50.703519486252866,33.355535238600865,0.539875936820146,55.020510096721154,Optuna-50,425.26439809799194
XGBoost-compact,COMPACT,18,0.6146139173008117,50.354136501335816,0.600636710268103,51.259127531369025,34.804664944350414,0.5371885713168715,55.18095047087077,Optuna-50,367.7416970729828
OLS,PHYSICS,27,0.5594075204590268,53.84007786141497,0.5038384672155161,57.13453334881864,35.792683407802976,0.3303499669830733,66.37600145579245,None,0.09194183349609375
GPR (Matern),COMPACT,18,0.3593901254400622,64.92081357485611,0.47665457714378456,58.67881764829173,39.01213655670662,0.3054000666951998,67.60121598769231,None,68.6858160495758
Baseline (mean),CORE,12,-0.01420421353015544,81.68641652747728,-0.021857277882797455,81.99403529558782,64.13165929191027,-0.12180969306774658,85.91059629591048,None,0.01374506950378418
KRR (RBF),COMPACT,18,-10.29962079625784,272.6585205807386,-10.416665568066986,274.06702085069287,269.3540569596352,-10.292532673171284,272.5729893773147,Optuna-50,1.3975141048431396
