Model,Features,n_feat,LOO_R2,LOO_RMSE,LOO_MAE,LOBO_R2,Train_R2,k_eff,AIC,AICc,BIC,HPO,time
XGBoost,INTERACTIONS_ALT,64,0.7290777817934131,42.21914662853885,27.875412285883954,0.5738115823876382,0.9999499719974148,3749,7394.653147251289,inf,16889.368647082847,Optuna-50,369.0024030208587
Average Ensemble,meta,5,0.7002526019484693,44.408371788665434,28.757791730652897,,,5,715.5776090161025,716.2672641885164,728.2406064818688,,0.0
Stacking (Ridge),meta,5,0.6983349810794546,44.550195630450766,29.510020488764592,0.7065116882908438,0.7473129326203798,6,701.6942991479765,702.671043334023,716.889896106896,RidgeCV,0.0
Random Forest,INTERACTIONS_ALT,64,0.6746591684710521,46.26541109551997,29.705249699132427,0.6232226578123694,0.907723609466485,320,1236.009492060454,inf,2046.441329869496,Optuna-50,373.67107009887695
LightGBM,INTERACTIONS_ALT,64,0.6728553126995246,46.39349333956527,31.297045480301993,0.6254624090210263,0.9720193395739288,320,1125.0349407020883,inf,1935.4667785111303,Optuna-50,450.4811811447144
SISSO Full,SISSO_physics,3,0.6650082153784909,46.94660784769677,30.454028391100525,0.3804566662097175,0.7299796881508525,4,703.8644166902479,704.3189621447934,713.994814662861,SISSO,0.0
SVR (RBF),COMPACT,20,0.6537679516355801,47.72772919650867,31.533397586460396,0.4967500086194139,0.7565338568213513,83,852.2371222764658,2401.570455609799,1062.442880208186,Optuna-50,0.8055720329284668
M3: σ₀(all elem),HP_PHYSICS,9,0.6524897070240354,47.815750378373664,30.532963708848857,0.6245751564253903,0.7261161556088656,10,717.1856589191102,719.8685857483785,742.5116538506428,None (OLS),0.0
XGBoost-compact,COMPACT,20,0.6498563057320114,47.99658014380553,33.25426401093453,0.5802485080433257,0.9531710017465356,1484,3500.9289232239257,inf,7259.306571063358,Optuna-50,328.98975014686584
Ridge,PHYSICS_ALT,33,0.6378412710246013,48.813125677908744,31.414843351349827,0.6506739903052894,0.7373043139055034,34,761.3068320512048,802.3413148098255,847.4152148184155,Optuna-50,0.7001748085021973
ElasticNet,PHYSICS_ALT,33,0.6369569013366175,48.87268868643676,31.41741339250956,0.6478216467496909,0.7358333568059642,32,757.8261303881516,793.0261303881516,838.8693141690558,Optuna-50,1.050368070602417
CatBoost,INTERACTIONS_ALT,64,0.6367472635244353,48.88679732110186,30.784126168402953,0.5149798205573388,0.9994157787878628,600,1325.2189495257892,inf,2844.778645417743,Optuna-50,167.21198916435242
CatBoost-compact,COMPACT,20,0.623281465686558,49.784670052160486,35.21769058879442,0.549220416359877,0.9399654864022648,400,1356.031703445812,inf,2369.071500707115,Optuna-50,139.58519101142883
SISSO k_HP(comp),SISSO_physics,3,0.6188441928336214,50.07701226859408,35.48296990059093,0.2658829642300121,0.708181795134846,5,713.0843635371185,713.7740187095324,725.7473610028848,SISSO,0.0
SISSO σ₀(comp)+HP,SISSO_physics,3,0.5987605215424779,51.37939285320089,36.90473764455531,0.4025366769860831,0.7118190868769162,5,711.9179046371203,712.6075598095341,724.5809021028865,SISSO,0.0
OLS,PHYSICS,27,0.4402699785460626,60.68431302745812,37.92592516494383,0.304112793313847,0.7693907597381088,28,737.1915734752956,762.5665734752956,808.1043592835867,,0.0164930820465087
OLS (alt-GS),PHYSICS_ALT,33,0.3678850614445115,64.48892927564641,39.57660039969843,-0.258586750888629,0.7824086205868865,34,743.7877359331828,784.8222186918035,829.8961187003936,,0.0187819004058837
Jiang (recal.),Jiang_physics,2,0.3464223923070332,65.57461077905285,50.0730923089329,0.2951384028114551,0.39473758597105957,3,776.9307543384823,777.2004172598306,784.5285528179421,Jiang2022,0.0
EML (depth-1),EML_universal,8,0.3205394362482155,66.86044563064388,46.663750423328565,-1.0167070953867947,0.7685611033498124,20,721.5255565427384,,772.1775464058035,EML_multistart,4842.0
GPR (Matern),COMPACT,20,-0.0217873712376297,81.9912305859229,64.08673775905058,-0.1215147903955013,1.7247461058356173e-05,93,1003.623815380581,inf,1239.1555682438338,,32.45593881607056
Baseline (mean),CORE,12,-0.0218572778827974,81.99403529558782,64.13165929191027,-0.1218096930677465,0.0,13,843.6254194082921,848.233014345001,876.5492128192844,,0.0042140483856201
KRR (RBF),COMPACT,20,-10.434842331174227,274.2851086105272,269.27200152420215,-10.76158356289308,-10.229010459040598,93,1228.545979767258,inf,1464.0777326305108,Optuna-50,0.8395562171936035
