model,held_out_batch,n_train,n_test,R2_test,RMSE_test,hull_containment_frac
classical_HP,BBA,76,17,0.4122033513516362,45.88181134594489,0.8823529411764706
classical_HP,BBB,84,9,0.13798251209462586,64.32432694828647,0.5555555555555556
classical_HP,BBC,85,8,0.2588427886147817,76.25333946291079,0.75
classical_HP,CBA,70,23,0.29450773201527947,49.61682314132163,1.0
classical_HP,CBB,78,15,0.17440164199123787,69.9533552468028,0.9333333333333333
classical_HP,CBC,72,21,-0.037814519589758566,79.98994769680111,0.47619047619047616
M3_lite (7 elem + d^-1/2),BBA,76,17,0.6973982651271944,32.92021848431418,0.8823529411764706
M3_lite (7 elem + d^-1/2),BBB,84,9,0.3064501312634209,57.697375589463654,0.5555555555555556
M3_lite (7 elem + d^-1/2),BBC,85,8,0.6562428882091242,51.93134187608716,0.75
M3_lite (7 elem + d^-1/2),CBA,70,23,0.4233050924642693,44.8596502135357,1.0
M3_lite (7 elem + d^-1/2),CBB,78,15,0.5842041505419059,49.64370823157556,0.9333333333333333
M3_lite (7 elem + d^-1/2),CBC,72,21,0.4091436426299141,60.35545078790515,0.47619047619047616
